OBJECTID,DBH,TPStructure,TPCondition,StumpDiameter,PlantingSpaceGlobalID,Geometry,GlobalID,GenusSpecies,CreatedDate,UpdatedDate,PlantedDate,RiskRating,RiskRatingDate,Lat,Long
5333377,7,Full,Good,,5D3C4C23-8D4A-45E3-A4EC-4CADCDF6F7D4,POINT(-73.88476591111285 40.8772539650244),ADEC7A1B-D193-4C66-81AA-E9430FC28A1E,Acer rubrum - red maple,28:34.0,58:07.0,,3,58:07.0,-73.88476591,40.87725397
5401588,28,Full,Fair,,26589171-9C0C-49C5-AA1A-CABB6367850D,POINT(-73.86461757089602 40.890016727836176),EBD8225D-5594-4372-B8DF-A4F65640AD7E,Acer rubrum - red maple,44:51.0,18:02.0,,9,46:07.0,-73.86461757,40.89001673
5410408,19,Full,Fair,,14D67FF8-64DE-46FF-9DC5-68E7A88FEE17,POINT(-73.88196632737711 40.87627582827603),4325DC70-6AC8-4651-BE50-2E30A44F545D,Acer rubrum - red maple,42:52.0,51:12.0,,7,51:12.0,-73.88196633,40.87627583
5468573,17,Full,Fair,,757BBE0D-3370-4A94-A96F-B1CF9C3E48F4,POINT(-73.88145046678417 40.89161759538889),F3BE06AB-C51A-41EC-B152-6BBD55755EB0,Acer rubrum - red maple,10:42.0,30:54.0,,8,11:43.0,-73.88145047,40.8916176
5575879,,Stump,Dead,40,CBC48FAA-D157-46E6-8267-D65A3DFF6EFD,POINT(-73.89724969813888 40.890415266055356),46CB9A73-5F46-4474-83CA-9D19B40DB81F,Acer rubrum - red maple,11:11.0,35:09.0,,8,22:35.0,-73.8972497,40.89041527
5576153,2,Full,Fair,0,BB10F50C-1BCA-4CBF-8E17-AE3D3828FEF6,POINT(-73.89667121851167 40.89718079851771),46750C05-6375-4399-967C-8303A77008CB,Acer rubrum - red maple,11:11.0,,,,,-73.89667122,40.8971808
5576156,15,Full,Good,0,5D7CDCB7-E8B3-4D0F-81CF-924A9DE50FB3,POINT(-73.89548097629897 40.88995440515741),76037B6D-599F-45D4-AC7D-2FCCE323FCE0,Acer rubrum - red maple,11:11.0,,,,,-73.89548098,40.88995441
5576548,12,Full,Good,0,229DDF03-762B-4DB2-A234-50822462FC92,POINT(-73.90611804307738 40.89998230548205),D395B9C5-B751-4372-A2CA-AA71106DCF20,Acer rubrum - red maple,11:11.0,,,,,-73.90611804,40.89998231
5576796,12,Full,Good,0,9FBBBD69-0F77-4D26-A5D8-66298217F757,POINT(-73.89199101018063 40.891075737699815),169FCDB6-DE1B-4320-822C-6C5FEA68F2F4,Acer rubrum - red maple,11:11.0,,,,,-73.89199101,40.89107574
5577124,10,Full,Good,0,E0EA04D2-01F5-46D5-B10E-DDC5E9F28E42,POINT(-73.88424858819235 40.88064467196739),5133BA5E-8230-46F7-90EF-DC20A5871DA4,Acer rubrum - red maple,11:11.0,38:32.0,,5,38:32.0,-73.88424859,40.88064467
5578389,5,Full,Good,0,FB854A98-AADC-4181-9CD6-B0B53DE13D3F,POINT(-73.8838660368108 40.89168556084756),3984F940-284A-4503-867C-009DF1D94219,Acer rubrum - red maple,11:11.0,,,,,-73.88386604,40.89168556
5578648,5,Full,Good,0,8480BB1B-EC73-49D6-ABFC-41EB3795219F,POINT(-73.88165552496035 40.87416453869648),95C4388C-11B2-4A15-9963-C1739E2BA1C1,Acer rubrum - red maple,11:11.0,56:46.0,,3,56:46.0,-73.88165552,40.87416454
5578782,16,Full,Fair,,DEFECF3C-E923-44A5-AC99-AFAF1DA385A1,POINT(-73.8822109642509 40.87628742410265),A58EAAB9-65B3-47A4-B508-0E80A7D183A2,Acer rubrum - red maple,11:11.0,18:17.0,,5,18:17.0,-73.88221096,40.87628742
5578900,11,Full,Good,0,96FCF587-2A36-4B25-84B6-CD8C91AE4857,POINT(-73.89258587253514 40.89059168129707),0A55A981-284B-462E-9E5B-8719BC652A51,Acer rubrum - red maple,11:11.0,07:31.0,,7,07:31.0,-73.89258587,40.89059168
5578910,2,Full,Good,0,4459AFAD-C43C-459E-8AF4-88D8A0477CBF,POINT(-73.86651367410356 40.885653914231376),BD0E4C06-58B5-4EFF-851F-129A898D424B,Acer rubrum - red maple,11:11.0,,,,,-73.86651367,40.88565391
5580086,10,Full,Poor,0,35EE39FC-7055-4977-AED6-CF9359419976,POINT(-73.90586498017714 40.900193553049476),DFFE33C3-C664-4A43-B997-C1BA6BB32DA3,Acer rubrum - red maple,11:11.0,,,,,-73.90586498,40.90019355
5580373,34,Full,Good,0,BEABDB6A-0B6A-4A42-ACEC-82F85CD03B89,POINT(-73.88040380644077 40.89593274443219),2B7F3EB5-22A1-48A8-A151-1A02E5F08DFD,Acer rubrum - red maple,11:11.0,,,,,-73.88040381,40.89593274
5580826,32,Retired,Good,0,95CB66C2-C8A8-463F-A4FD-22C7C0910DDE,POINT(-73.8967488932145 40.88889832159205),F0337543-61B3-4DBC-8B0A-628493767A1B,Acer rubrum - red maple,11:11.0,29:12.0,,,,-73.89674889,40.88889832
5580984,8,Full,Fair,0,23141EEA-766E-432F-8A04-356D4ECF751F,POINT(-73.90592190179343 40.90006941065118),50E1C320-91F0-490A-9285-303BF11D8A34,Acer rubrum - red maple,11:11.0,,,,,-73.9059219,40.90006941
5581038,32,Full,Fair,,D30C20DA-272E-4D50-9901-3A228FEFFA45,POINT(-73.89689929687002 40.88923883664207),DEF35962-CE03-4F9C-8566-DD6CC019E070,Acer rubrum - red maple,11:11.0,16:05.0,,9,16:05.0,-73.8968993,40.88923884
5581299,14,Full,Good,0,32AC73AA-0775-4315-A1EA-F94DB431E309,POINT(-73.90614368327738 40.89998263396289),B1BE2218-5612-46DD-9418-2B172036533B,Acer rubrum - red maple,11:11.0,,,,,-73.90614368,40.89998263
5581516,6,Full,Good,0,D17464E7-6C9F-4F00-A2E7-15B67E17C02D,POINT(-73.88064429626625 40.87057661729681),62BA94D9-25C6-424B-8A99-E5286E35D186,Acer rubrum - red maple,11:11.0,07:14.0,,3,07:14.0,-73.8806443,40.87057662
5581980,3,Full,Excellent,0,D255B1EB-C3B1-4DA2-B39F-D0F4FAF69CDB,POINT(-73.89330296540838 40.89575560332751),A0B2A9D4-F981-4C23-8A0A-623B25ACB9E9,Acer rubrum - red maple,11:11.0,,,,,-73.89330297,40.8957556
5582047,4,Retired,Good,0,46F8342B-4AAF-401E-A27F-68F142E3965E,POINT(-73.87256249964713 40.90020856870114),AC840676-A14E-4709-A1A4-567232462CF2,Acer rubrum - red maple,11:11.0,11:59.0,,,,-73.8725625,40.90020857
5582256,17,Full,Fair,0,47E40C89-80FC-4C73-9E13-12F3BB1398FB,POINT(-73.8797998640033 40.89906592255975),35BE2BAC-1713-4C6B-8B64-F1A69F147DDA,Acer rubrum - red maple,11:11.0,,,,,-73.87979986,40.89906592
5582701,19,Full,Good,0,AC3B1139-EB53-45C4-924F-0484B200FE5E,POINT(-73.89670159250362 40.8891288220962),3D679F17-AD9F-4F7B-BA64-7330FC974458,Acer rubrum - red maple,11:11.0,,,,,-73.89670159,40.88912882
5582726,28,Full,Good,0,348BC57F-5B2D-423E-914B-F915DFA27EAA,POINT(-73.88126024822064 40.86948672061557),F7DFEA78-A3EE-4D9C-85BC-82CE69884B30,Acer rubrum - red maple,11:11.0,19:52.0,,7,19:54.0,-73.88126025,40.86948672
5582746,21,Full,Good,0,EFE05CBF-DD37-48E8-B8CF-80A6FADB9977,POINT(-73.89718145525819 40.890561041892475),E44D95B9-78E6-4551-853E-913E4B3489F1,Acer rubrum - red maple,11:11.0,,,,,-73.89718146,40.89056104
5583146,11,Full,Good,0,87B8CD23-57B5-4F3D-8F86-CB095340D044,POINT(-73.8762156403137 40.86975177500604),CC913483-518A-4310-8533-30E79927BEDD,Acer rubrum - red maple,11:11.0,,,,,-73.87621564,40.86975178
5583191,13,Full,Good,0,89AAAF7B-A19E-42FB-A765-6434B2F8FB4D,POINT(-73.87605011038353 40.86988251709321),13B5BBF0-6919-4B85-9FBB-81901CFD410D,Acer rubrum - red maple,11:11.0,,,,,-73.87605011,40.86988252
