id,observed_on,quality_grade,place_guess,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name
56132961,2020-08-11,needs_id,"Van Cortlandt Park, New York, NY, US",40.90292577,-73.89443996,Thin-spined Jumping Spider,Tutelina elegans,Thin-spined Jumping Spider,Arachnida
57044578,2020-08-20,needs_id,"Van Cortlandt Golf House, The Bronx, NY 10471, USA",40.888808,-73.89242036,Spiders,Araneae,Spiders,Arachnida
57154746,2020-08-21,research,"Van Cortlandt Park, New York, NY, US",40.90818333,-73.8938,Spined Micrathena,Micrathena gracilis,Spined Micrathena,Arachnida
60152684,2020-08-30,research,"Van Cortlandt Park, New York, NY, US",40.88532054,-73.89037464,American Green Crab Spider,Misumessus oblongus,American Green Crab Spider,Arachnida
58503930,2020-09-04,needs_id,"Van Cortlandt Park, New York, NY, US",40.90710365,-73.88559116,,Tetragnatha,,Arachnida
61305853,2020-09-05,needs_id,"Van Cortlandt Park, New York, NY, US",40.88978119,-73.89379425,,Araneidae,Orbweavers,Arachnida
62360461,2020-10-11,needs_id,"Van Cortlandt Lake, New York, NY, US",40.88944667,-73.89303667,Running Crab Spiders,Philodromus,Running Crab Spiders,Arachnida
62360473,2020-10-11,research,"Van Cortlandt Lake, New York, NY, US",40.89235,-73.88964167,Zebra Jumping Spider,Salticus scenicus,Zebra Jumping Spider,Arachnida
64467627,2020-11-08,needs_id,"Van Cortlandt Lake, New York, NY, US",40.889355,-73.892175,Thin-legged Wolf Spiders,Pardosa,Thin-legged Wolf Spiders,Arachnida
64467674,2020-11-08,needs_id,"Van Cortlandt Park Golf Course, New York, NY, US",40.88928667,-73.892145,,Araneae,Spiders,Arachnida
64467815,2020-11-08,needs_id,"Van Cortlandt Park Golf Course, New York, NY, US",40.88923833,-73.892175,,Araneae,Spiders,Arachnida
65986681,2020-11-29,needs_id,"Van Cortlandt Park, New York, NY, US",40.89381167,-73.896155,Spiders,Araneae,Spiders,Arachnida
71806628,2021-03-21,needs_id,"Van Cortlandt Lake, New York, NY, US",40.889355,-73.89218,,Pardosa,Thin-legged Wolf Spiders,Arachnida
71806715,2021-03-21,needs_id,"Van Cortlandt Lake, New York, NY, US",40.88958667,-73.89215833,,Pardosa,Thin-legged Wolf Spiders,Arachnida
71806922,2021-03-21,needs_id,"Van Cortlandt Park Golf Course, New York, NY, US",40.8893,-73.892175,,Pardosa,Thin-legged Wolf Spiders,Arachnida
72061929,2021-03-25,needs_id,"Van Cortlandt Park, New York, NY, US",40.88947,-73.89610333,,Pardosa,Thin-legged Wolf Spiders,Arachnida
72062195,2021-03-25,needs_id,"Van Cortlandt Stadium, New York, NY, US",40.88938833,-73.89739167,,Pardosa,Thin-legged Wolf Spiders,Arachnida
72062239,2021-03-25,needs_id,"Van Cortlandt Park, New York, NY, US",40.88955,-73.89605833,,Pardosa,Thin-legged Wolf Spiders,Arachnida
72742110,2021-04-01,needs_id,"Van Cortlandt Park, New York, NY, US",40.8994,-73.890075,,Araneidae,Orbweavers,Arachnida
74469705,2021-04-18,needs_id,"Van Cortlandt Park, New York, NY, US",40.89125,-73.894745,Philodromus,Philodromus,Running Crab Spiders,Arachnida
78283432,2021-05-10,needs_id,"Van Cortlandt Park, New York, NY, US",40.90060833,-73.88793,Trochosa,Trochosa,,Arachnida
78781040,2021-05-14,needs_id,"Van Cortlandt Park, New York, NY, US",40.88988667,-73.89527833,,Trochosa,,Arachnida
78781280,2021-05-14,needs_id,"Van Cortlandt Park, New York, NY, US",40.88985,-73.89518667,,Trochosa,,Arachnida
78782716,2021-05-14,needs_id,"Van Cortlandt Park Golf Course, New York, NY, US",40.88916167,-73.89291333,Black-palped Jumping Spider,Pseudeuophrys erratica,Black-palped Jumping Spider,Arachnida
79099724,2021-05-16,research,"Van Cortlandt Park Golf Course, New York, NY, US",40.88902,-73.89229667,Zebra Jumping Spider,Salticus scenicus,Zebra Jumping Spider,Arachnida
79100362,2021-05-16,needs_id,"Van Cortlandt Park Golf Course, New York, NY, US",40.88919667,-73.89254667,,Araneidae,Orbweavers,Arachnida
79100537,2021-05-16,needs_id,"Van Cortlandt Lake, New York, NY, US",40.88929667,-73.89253333,Araneoid Spiders,Araneoidea,Orbweavers and Allies,Arachnida
79721219,2021-05-21,research,"Van Cortlandt Park, New York, NY, US",40.896255,-73.88371333,Orchard Orbweaver,Leucauge venusta,Orchard Orbweaver,Arachnida
80674750,2021-05-28,research,"Van Cortlandt Park, New York, NY, US",40.89993333,-73.87371167,Anyphaena,Anyphaena,,Arachnida
81976708,2021-06-05,needs_id,"Van Cortlandt Park, New York, NY, US",40.89097167,-73.89468333,,Araneae,Spiders,Arachnida
82173321,2021-06-05,needs_id,"Van Cortlandt Park, New York, NY, US",40.89910991,-73.89035326,Entelegyne Spiders,Entelegynae,Entelegyne Spiders,Arachnida
81978453,2021-06-06,needs_id,"Van Cortlandt Lake, New York, NY, US",40.88932,-73.89302,Philodromus,Philodromus,Running Crab Spiders,Arachnida
82364580,2021-06-09,needs_id,"Van Cortlandt Park Golf Course, New York, NY, US",40.88907,-73.89267833,Maevia,Maevia,,Arachnida
82370052,2021-06-09,needs_id,"Van Cortlandt Park, New York, NY, US",40.90723833,-73.88563667,,Araneae,Spiders,Arachnida
82370276,2021-06-09,needs_id,"Van Cortlandt Park, New York, NY, US",40.90734667,-73.88572,,Araneae,Spiders,Arachnida
82370387,2021-06-09,needs_id,"Van Cortlandt Park, New York, NY, US",40.88970333,-73.89274667,Orbweavers and Allies,Araneoidea,Orbweavers and Allies,Arachnida
